Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[197]    0.0    0.00    0.00    1798         extract_shape [197]
                0.00    0.00    7192/15283       get_integer_tag [183]
                0.00    0.00    1798/25172       Get_Tiff_Tag [182]
-----------------------------------------------
                0.00    0.00    1798/1798        Read_Tiff_IFD [194]
[198]    0.0    0.00    0.00    1798         new_tifd [198]
                0.00    0.00    1798/1798        allocate_tifd_tags [195]
                0.00    0.00    1798/3596        allocate_tifd_values [186]
                0.00    0.00       1/4           Guarded_Realloc [229]
-----------------------------------------------
                0.00    0.00    1798/1798        Load_Tiff_Image_Planes [208]
[199]    0.0    0.00    0.00    1798         optseek [199]
-----------------------------------------------
                0.00    0.00     930/930         image_depth [228]
[200]    0.0    0.00    0.00     930         End_Of_Tiff [200]
-----------------------------------------------
                0.00    0.00     930/930         read_tiff [177]
[201]    0.0    0.00    0.00     930         determine_kind [201]
-----------------------------------------------
                0.00    0.00     930/930         read_tiff [177]
[202]    0.0    0.00    0.00     930         image_reader [202]
                0.00    0.00      31/62          Open_Tiff_Reader [224]
                0.00    0.00      31/1860        Free_Tiff_Reader [189]
-----------------------------------------------
                0.00    0.00     899/899         Free_Tiff_Image [204]
[203]    0.0    0.00    0.00     899         Free_Tiff_Channel [203]
                0.00    0.00     899/899         free_tiff_channel [212]
-----------------------------------------------
                0.00    0.00     899/899         read_tiff [177]
[204]    0.0    0.00    0.00     899         Free_Tiff_Image [204]
                0.00    0.00     899/899         Free_Tiff_Channel [203]
                0.00    0.00     899/899         free_timage [213]
-----------------------------------------------
                0.00    0.00     899/899         Load_Tiff_Image_Planes [208]
[205]    0.0    0.00    0.00     899         Get_Tiff_IFD_Data_Flip [205]
-----------------------------------------------
                0.00    0.00     899/899         read_tiff [177]
[206]    0.0    0.00    0.00     899         Get_Tiff_Image [206]
                0.00    0.00    2697/25172       Get_Tiff_Tag [182]
                0.00    0.00     899/1798        extract_shape [197]
                0.00    0.00     899/1798        extract_image_tags [196]
                0.00    0.00     899/15283       get_integer_tag [183]
                0.00    0.00     899/899         new_timage [215]
                0.00    0.00     899/899         Inc_Tiff_IFD [207]
                0.00    0.00     899/899         new_tiff_channel [214]
-----------------------------------------------
                0.00    0.00     899/899         Get_Tiff_Image [206]
[207]    0.0    0.00    0.00     899         Inc_Tiff_IFD [207]
-----------------------------------------------
                0.00    0.00     899/899         read_tiff [177]
[208]    0.0    0.00    0.00     899         Load_Tiff_Image_Planes [208]
                0.00    0.00    1798/1798        Get_Tiff_IFD_Stream [192]
                0.00    0.00    1798/1798        optseek [199]
                0.00    0.00     899/1798        extract_shape [197]
                0.00    0.00     899/1798        extract_image_tags [196]
                0.00    0.00     899/899         Get_Tiff_IFD_Data_Flip [205]
-----------------------------------------------
                0.00    0.00     899/899         new_timage [215]
[209]    0.0    0.00    0.00     899         allocate_timage_channels [209]
                0.00    0.00       1/3           Guarded_Realloc [230]
-----------------------------------------------
                0.00    0.00     899/899         new_timage [215]
[210]    0.0    0.00    0.00     899         allocate_timage_map [210]
-----------------------------------------------
                0.00    0.00     899/899         read_tiff [177]
[211]    0.0    0.00    0.00     899         determine_type [211]
-----------------------------------------------
                0.00    0.00     899/899         Free_Tiff_Channel [203]
[212]    0.0    0.00    0.00     899         free_tiff_channel [212]
-----------------------------------------------
                0.00    0.00     899/899         Free_Tiff_Image [204]
[213]    0.0    0.00    0.00     899         free_timage [213]
                0.00    0.00     899/2697        Free_Tiff_IFD [187]
-----------------------------------------------
                0.00    0.00     899/899         Get_Tiff_Image [206]
[214]    0.0    0.00    0.00     899         new_tiff_channel [214]
                0.00    0.00       1/3           Guarded_Realloc [230]
-----------------------------------------------
                0.00    0.00     899/899         Get_Tiff_Image [206]
[215]    0.0    0.00    0.00     899         new_timage [215]
                0.00    0.00     899/899         allocate_timage_channels [209]
                0.00    0.00     899/899         allocate_timage_map [210]
                0.00    0.00       1/3           Guarded_Realloc [230]
-----------------------------------------------
                0.00    0.00      33/223         allocate_array_text [180]
                0.00    0.00      33/223         new_array [91]
                0.00    0.00      63/223         allocate_array_dims [179]
                0.00    0.00      94/223         allocate_array_data [178]
[216]    0.0    0.00    0.00     223         Guarded_Realloc [216]
-----------------------------------------------
                0.00    0.00      31/186         Array_Range [79]
                0.00    0.00      62/186         AForm_Size [221]
                0.00    0.00      93/186         AForm_Array [220]
[217]    0.0    0.00    0.00     186         AForm_Class [217]
-----------------------------------------------
                0.00    0.00     125/125         main [10]
[218]    0.0    0.00    0.00     125         tic [218]
-----------------------------------------------
                0.00    0.00     125/125         main [10]
[219]    0.0    0.00    0.00     125         toc [219]
-----------------------------------------------
                0.00    0.00      31/93          Array_Range [79]
                0.00    0.00      31/93          Scale_Array [63]
                0.00    0.00      31/93          Scale_Array_To_Range [52]
[220]    0.0    0.00    0.00      93         AForm_Array [220]
                0.00    0.00      93/186         AForm_Class [217]
-----------------------------------------------
                0.00    0.00      31/62          Array_Range [79]
                0.00    0.00      31/62          Scale_Array [63]
[221]    0.0    0.00    0.00      62         AForm_Size [221]
                0.00    0.00      62/186         AForm_Class [217]
-----------------------------------------------
                0.00    0.00      31/62          Scale_Array [63]
                0.00    0.00      31/62          Scale_Array_To_Range [52]
[222]    0.0    0.00    0.00      62         Is_Frame [222]
-----------------------------------------------
                0.00    0.00      62/62          Open_Tiff_Reader [224]
[223]    0.0    0.00    0.00      62         Native_Endian [223]
-----------------------------------------------
                0.00    0.00      31/62          image_depth [228]
                0.00    0.00      31/62          image_reader [202]
[224]    0.0    0.00    0.00      62         Open_Tiff_Reader [224]
                0.00    0.00      62/62          Native_Endian [223]
                0.00    0.00      62/62          new_treader [225]
-----------------------------------------------
                0.00    0.00      62/62          Open_Tiff_Reader [224]
[225]    0.0    0.00    0.00      62         new_treader [225]
                0.00    0.00       1/4           Guarded_Realloc [229]
-----------------------------------------------
                0.00    0.00      31/31          Scale_Array [63]
[226]    0.0    0.00    0.00      31         Is_Slice [226]
-----------------------------------------------
                0.00    0.00      31/31          read_tiff [177]
[227]    0.0    0.00    0.00      31         Set_Array_Text [227]
                0.00    0.00      31/2891392     allocate_array_text [180]
-----------------------------------------------
                0.00    0.00      31/31          read_array [176]
[228]    0.0    0.00    0.00      31         image_depth [228]
                0.00    0.00     930/930         End_Of_Tiff [200]
                0.00    0.00     899/1798        Read_Tiff_IFD [194]
                0.00    0.00     899/25172       Get_Tiff_Tag [182]
                0.00    0.00     899/2697        Free_Tiff_IFD [187]
                0.00    0.00      31/62          Open_Tiff_Reader [224]
                0.00    0.00      31/1860        Free_Tiff_Reader [189]
-----------------------------------------------
                0.00    0.00       1/4           new_treader [225]
                0.00    0.00       1/4           allocate_tifd_tags [195]
                0.00    0.00       1/4           allocate_tifd_values [186]
                0.00    0.00       1/4           new_tifd [198]
[229]    0.0    0.00    0.00       4         Guarded_Realloc [229]
-----------------------------------------------
                0.00    0.00       1/3           new_tiff_channel [214]
                0.00    0.00       1/3           allocate_timage_channels [209]
                0.00    0.00       1/3           new_timage [215]
[230]    0.0    0.00    0.00       3         Guarded_Realloc [230]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.


Index by function name

 [220] AForm_Array            [35] bool __gnu_cxx::operator< <float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [86] void std::__pop_heap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
 [217] AForm_Class            [50] bool __gnu_cxx::operator< <unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [58] void std::__push_heap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long, unsigned long long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long, long, unsigned long long)
 [221] AForm_Size             [66] __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [1] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::lower_bound<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long long const&)
  [79] Array_Range            [16] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::difference_type __gnu_cxx::operator-<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [60] void std::partial_sort<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  [93] Convert_Array_Inplace [100] bool __gnu_cxx::operator!=<treeStump const*, std::vector<treeStump, std::allocator<treeStump> > >(__gnu_cxx::__normal_iterator<treeStump const*, std::vector<treeStump, std::allocator<treeStump> > > const&, __gnu_cxx::__normal_iterator<treeStump const*, std::vector<treeStump, std::allocator<treeStump> > > const&) [28] void std::__adjust_heap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long, unsigned long long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long, long, unsigned long long)
 [200] End_Of_Tiff           [119] bool __gnu_cxx::operator!=<unsigned long long const*, unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [152] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::copy_backward<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
  [92] Free_Array             [26] bool __gnu_cxx::operator!=<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [153] std::__deque_buf_size(unsigned long)
 [203] Free_Tiff_Channel     [120] bool __gnu_cxx::operator!=<char*, std::string>(__gnu_cxx::__normal_iterator<char*, std::string> const&, __gnu_cxx::__normal_iterator<char*, std::string> const&) [103] void std::__introsort_loop<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long)
 [187] Free_Tiff_IFD          [73] bool __gnu_cxx::operator!=<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [48] void std::__introsort_loop<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long)
 [204] Free_Tiff_Image        [19] bool __gnu_cxx::operator!=<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [174] std::move_iterator<std::_List_iterator<supervoxel>*> std::make_move_iterator<std::_List_iterator<supervoxel>*>(std::_List_iterator<supervoxel>* const&)
 [189] Free_Tiff_Reader       [24] supervoxel::intersectionSize(supervoxel const&) const [154] std::move_iterator<double*> std::make_move_iterator<double*>(double* const&)
 [205] Get_Tiff_IFD_Data_Flip [121] Eigen::DenseCoeffsBase<Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs_op<double>, Eigen::Matrix<double, 3, 3, 0, 3, 3> const>, 0>::coeffByOuterInner(long, long) const [34] std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&)
 [192] Get_Tiff_IFD_Stream   [122] Eigen::PlainObjectBase<Eigen::Matrix<double, 3, 3, 0, 3, 3> >::cols() const [8] __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float)
 [206] Get_Tiff_Image        [123] Eigen::Block<Eigen::Matrix<double, 3, 3, 0, 3, 3> const, 3, 1, true, true>::outerStride() const [5] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long)
 [182] Get_Tiff_Tag          [124] Eigen::MapBase<Eigen::Block<Eigen::Matrix<double, 3, 3, 0, 3, 3> const, 3, 1, true, true>, 0>::coeff(long, long) const [39] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::__copy_move_backward_a2<false, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
 [185] Grab_Message_8qm5     [125] Eigen::EigenBase<Eigen::Matrix<double, 3, 1, 0, 3, 1> >::rows() const [27] void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float)
 [216] Guarded_Realloc       [126] Eigen::EigenBase<Eigen::Matrix<double, 3, 3, 0, 3, 3> >::derived() const [17] void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long)
 [229] Guarded_Realloc (tiff.io.c) [127] XMLNode::nChildNode(char const*) const [78] void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
 [230] Guarded_Realloc (tiff.image.c) [104] XMLNode::getAttribute(char const*, int*) const [38] void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
  [22] Idx2CoordA            [167] XMLNode::getChildNodeWithAttribute(char const*, char const*, char const*, int*) const [155] float const& std::max<float>(float const&, float const&)
 [207] Inc_Tiff_IFD          [128] TreeNode<std::_List_iterator<nucleus> >::getNumChildren() const [87] float const& std::min<float>(float const&, float const&)
 [193] Inc_Tiff_Reader       [168] __gnu_cxx::new_allocator<float>::max_size() const [89] std::remove_reference<float&>::type&& std::move<float&>(float&&&)
 [222] Is_Frame               [31] __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::base() const [53] void std::swap<float>(float&, float&)
 [226] Is_Slice               [32] __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator*() const [70] void std::swap<unsigned long long>(unsigned long long&, unsigned long long&)
 [208] Load_Tiff_Image_Planes [55] __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const [156] unsigned long long* std::fill_n<unsigned long long*, unsigned long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&)
  [43] Make_Array             [20] __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator*() const [3] void std::advance<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >&, long)
 [223] Native_Endian         [129] __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator-(long const&) const [49] unsigned long long const&&& std::forward<unsigned long long const&>(std::identity<unsigned long long const&>::type&&)
 [224] Open_Tiff_Reader       [14] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::base() const [157] float const& std::__median<float>(float const&, float const&, float const&)
 [175] Read_Image              [2] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator*() const [158] unsigned long long const& std::__median<unsigned long long>(unsigned long long const&, unsigned long long const&, unsigned long long const&)
 [194] Read_Tiff_IFD         [130] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator-(long const&) const [29] std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >::difference_type std::distance<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
  [63] Scale_Array            [15] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator+(long const&) const [13] void std::__advance<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >&, long, std::random_access_iterator_tag)
  [52] Scale_Array_To_Range  [169] std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const [62] void std::iter_swap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
 [227] Set_Array_Text        [131] std::_List_iterator<supervoxel>::operator*() const [59] void std::iter_swap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
 [190] Tiff_Reader_Refcount  [132] std::_List_iterator<nucleus>::operator->() const [159] void std::sort_heap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
 [106] int parseString<double>(std::string const&, std::vector<double, std::allocator<double> >&) [133] std::_Deque_iterator<int, int&, int*>::operator*() const [54] void std::sort_heap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
  [80] fromXMLString(char const*, int, XML*) [82] std::deque<int, std::allocator<int> >::empty() const [160] __gnu_cxx::__normal_iterator<char*, std::string> std::transform<__gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, int (*)(int)>(__gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, int (*)(int))
 [107] boostingTreeClassifier(float*, float*, std::vector<std::vector<treeStump, std::allocator<treeStump> >, std::allocator<std::vector<treeStump, std::allocator<treeStump> > > >&, unsigned long long, unsigned long long) [134] std::vector<supervoxel*, std::allocator<supervoxel*> >::size() const [161] bool std::operator==<std::_List_iterator<supervoxel>*, std::_List_iterator<supervoxel>*>(std::move_iterator<std::_List_iterator<supervoxel>*> const&, std::move_iterator<std::_List_iterator<supervoxel>*> const&)
 [108] getNextChar(XML*) (xmlParser.cpp) [135] std::vector<std::_List_iterator<supervoxel>, std::allocator<std::_List_iterator<supervoxel> > >::max_size() const [88] bool std::operator==<int, int&, int*>(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  [81] GetNextToken(XML*, int*, XMLTokenTypeTag*) (xmlParser.cpp) [170] std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_check_len(unsigned long, char const*) const [178] allocate_array_data (array.c)
  [56] void supervoxel::removeZeros<float>() [25] std::vector<unsigned long long, std::allocator<unsigned long long> >::end() const [179] allocate_array_dims (array.c)
  [96] supervoxel::isNeighboring(supervoxel const&, int, long long*) [45] std::vector<unsigned long long, std::allocator<unsigned long long> >::size() const [180] allocate_array_text (array.c)
  [40] supervoxel::otsuThreshold(float*, int) [101] std::vector<unsigned long long, std::allocator<unsigned long long> >::begin() const [195] allocate_tifd_tags (tiff.io.c)
 [109] supervoxel::getCoordinates(unsigned long long, unsigned long long*) [136] std::vector<unsigned long long, std::allocator<unsigned long long> >::empty() const [186] allocate_tifd_values (tiff.io.c)
  [12] float supervoxel::trimSupervoxel<float>(int, float, int, long long*) [74] void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) [209] allocate_timage_channels (tiff.image.c)
