Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.05     20.01     0.01                             __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator++()
  0.05     20.02     0.01                             __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.05     20.03     0.01                             __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator()
  0.05     20.04     0.01                             bool __gnu_cxx::operator!=<unsigned long long const*, unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&)
  0.05     20.05     0.01                             bool __gnu_cxx::operator!=<char*, std::string>(__gnu_cxx::__normal_iterator<char*, std::string> const&, __gnu_cxx::__normal_iterator<char*, std::string> const&)
  0.05     20.06     0.01                             Eigen::DenseCoeffsBase<Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs_op<double>, Eigen::Matrix<double, 3, 3, 0, 3, 3> const>, 0>::coeffByOuterInner(long, long) const
  0.05     20.07     0.01                             Eigen::PlainObjectBase<Eigen::Matrix<double, 3, 3, 0, 3, 3> >::cols() const
  0.05     20.08     0.01                             Eigen::Block<Eigen::Matrix<double, 3, 3, 0, 3, 3> const, 3, 1, true, true>::outerStride() const
  0.05     20.09     0.01                             Eigen::MapBase<Eigen::Block<Eigen::Matrix<double, 3, 3, 0, 3, 3> const, 3, 1, true, true>, 0>::coeff(long, long) const
  0.05     20.10     0.01                             Eigen::EigenBase<Eigen::Matrix<double, 3, 1, 0, 3, 1> >::rows() const
  0.05     20.11     0.01                             Eigen::EigenBase<Eigen::Matrix<double, 3, 3, 0, 3, 3> >::derived() const
  0.05     20.12     0.01                             XMLNode::nChildNode(char const*) const
  0.05     20.13     0.01                             TreeNode<std::_List_iterator<nucleus> >::getNumChildren() const
  0.05     20.14     0.01                             __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator-(long const&) const
  0.05     20.15     0.01                             __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator-(long const&) const
  0.05     20.16     0.01                             std::_List_iterator<supervoxel>::operator*() const
  0.05     20.17     0.01                             std::_List_iterator<nucleus>::operator->() const
